"日付け","終値","始値","高値","安値","出来高","前日比%"
"2019年11月05日","9,317.0","9,427.0","9,485.0","9,180.0","-","-1.16%"
"2019年11月04日","9,426.5","9,205.5","9,614.0","9,135.0","-","2.41%"
"2019年11月03日","9,205.0","9,314.0","9,389.5","9,066.5","-","-1.16%"
"2019年11月02日","9,313.5","9,255.0","9,408.5","9,212.5","-","0.63%"
"2019年11月01日","9,255.5","9,153.0","9,308.5","9,055.0","-","1.11%"
"2019年10月31日","9,153.5","9,165.0","9,440.0","8,950.0","-","-0.12%"
"2019年10月30日","9,164.5","9,438.5","9,438.5","8,992.0","-","-2.90%"
"2019年10月29日","9,438.0","9,226.0","9,565.5","9,073.0","-","2.30%"
"2019年10月28日","9,226.0","9,560.5","9,942.0","9,184.0","-","-3.45%"
"2019年10月27日","9,556.0","9,264.0","9,832.5","9,105.5","-","3.15%"
"2019年10月26日","9,264.5","8,668.0","10,560.0","8,645.0","-","6.89%"
"2019年10月25日","8,667.5","7,424.5","8,790.0","7,381.0","-","16.75%"
"2019年10月24日","7,424.0","7,467.5","7,504.0","7,355.0","-","-0.59%"
"2019年10月23日","7,468.0","8,019.5","8,044.5","7,300.0","-","-6.87%"
"2019年10月22日","8,019.0","8,205.0","8,312.5","7,987.5","-","-2.29%"
"2019年10月21日","8,207.0","8,237.5","8,355.5","8,155.5","-","-0.32%"
"2019年10月20日","8,233.0","7,960.5","8,315.0","7,867.0","-","3.43%"
"2019年10月19日","7,960.0","7,951.0","8,100.0","7,870.5","-","0.12%"
"2019年10月18日","7,950.5","8,070.5","8,112.0","7,802.5","-","-1.49%"
"2019年10月17日","8,070.5","7,995.5","8,122.0","7,937.5","-","0.94%"
"2019年10月16日","7,995.0","8,155.5","8,175.0","7,912.5","-","-1.97%"
"2019年10月15日","8,156.0","8,357.5","8,413.0","8,083.0","-","-2.42%"
"2019年10月14日","8,358.0","8,278.0","8,400.0","8,221.0","-","0.97%"
"2019年10月13日","8,277.5","8,304.5","8,466.0","8,150.5","-","-0.33%"
"2019年10月12日","8,305.0","8,266.0","8,399.5","8,253.5","-","0.47%"
"2019年10月11日","8,266.0","8,586.5","8,820.0","8,222.0","-","-3.73%"
"2019年10月10日","8,586.5","8,587.5","8,662.5","8,466.0","-","-0.02%"
"2019年10月09日","8,588.0","8,180.5","8,691.0","8,116.5","-","4.99%"
"2019年10月08日","8,180.0","8,208.5","8,332.5","8,101.0","-","-0.34%"
"2019年10月07日","8,208.0","7,861.5","8,307.5","7,765.0","-","4.41%"
"2019年10月06日","7,861.0","8,149.5","8,172.0","7,772.5","-","-3.50%"
"2019年10月05日","8,146.5","8,154.0","8,200.0","8,022.0","-","-0.10%"
"2019年10月04日","8,154.5","8,242.5","8,243.0","8,020.0","-","-1.04%"
"2019年10月03日","8,240.5","8,378.5","8,420.0","8,079.5","-","-1.64%"
"2019年10月02日","8,377.5","8,313.5","8,386.0","8,173.5","-","0.76%"
"2019年10月01日","8,314.0","8,300.5","8,523.5","8,200.0","-","0.17%"
"2019年09月30日","8,299.5","8,054.5","8,344.5","7,690.5","-","3.05%"
"2019年09月29日","8,054.0","8,207.5","8,238.5","7,902.5","-","-1.86%"
"2019年09月28日","8,207.0","8,189.0","8,397.5","8,015.0","-","0.23%"
"2019年09月27日","8,188.5","8,053.5","8,264.5","7,860.0","-","1.67%"
"2019年09月26日","8,054.0","8,434.5","8,463.5","7,737.5","-","-4.46%"
"2019年09月25日","8,430.0","8,533.5","8,748.0","8,215.5","-","-1.23%"
"2019年09月24日","8,535.0","9,686.0","9,779.5","8,020.0","-","-11.88%"
"2019年09月23日","9,686.0","10,025.5","10,049.5","9,603.5","-","-3.39%"
"2019年09月22日","10,026.0","9,975.0","10,099.0","9,841.0","-","0.51%"
"2019年09月21日","9,975.5","10,169.5","10,175.0","9,911.0","-","-1.97%"
"2019年09月20日","10,175.5","10,282.5","10,319.5","10,061.0","-","-1.05%"
"2019年09月19日","10,283.0","10,162.5","10,442.0","9,567.5","-","1.18%"
"2019年09月18日","10,163.0","10,185.0","10,262.5","10,080.5","-","-0.21%"
"2019年09月17日","10,184.5","10,267.5","10,284.0","10,141.0","-","-0.81%"
"2019年09月16日","10,268.0","10,314.5","10,384.0","10,070.5","-","-0.45%"
"2019年09月15日","10,314.0","10,364.5","10,387.0","10,260.0","-","-0.48%"
"2019年09月14日","10,364.0","10,372.5","10,447.5","10,228.0","-","-0.06%"
"2019年09月13日","10,370.0","10,433.5","10,458.5","10,162.0","-","-0.61%"
"2019年09月12日","10,434.0","10,166.5","10,469.5","10,040.0","-","2.64%"
"2019年09月11日","10,166.0","10,100.5","10,280.0","9,857.0","-","0.63%"
"2019年09月10日","10,102.5","10,317.5","10,394.0","9,899.0","-","-2.09%"
"2019年09月09日","10,318.0","10,402.0","10,560.0","10,090.0","-","-0.82%"
"2019年09月08日","10,403.5","10,492.0","10,599.0","10,260.0","-","-0.85%"
"2019年09月07日","10,492.5","10,311.0","10,576.0","10,308.0","-","1.77%"
"2019年09月06日","10,310.5","10,586.5","10,967.5","10,205.0","-","-2.60%"
"2019年09月05日","10,586.0","10,581.0","10,682.0","10,454.0","-","0.05%"
"2019年09月04日","10,580.5","10,630.0","10,875.5","10,382.0","-","-0.47%"
"2019年09月03日","10,630.0","10,390.5","10,780.0","10,300.0","-","2.30%"
"2019年09月02日","10,391.0","9,771.0","10,489.0","9,747.5","-","6.34%"
"2019年09月01日","9,771.5","9,603.0","9,843.0","9,532.5","-","1.76%"
